v0001	Unclassified,Actinomycetota, Bacteroidota,Bifidobacterium swidsinskii, Bifidobacterium unknown, Bifidobacterium vaginale, Bifidobacterium vaginale_A, Bifidobacterium vaginale_C, Bifidobacterium vaginale_D, Bifidobacterium vaginale_H, Prevotella timonensis_A
v0002	Unclassified,Bacillota_C,Megasphaera lornae
v0003	Unclassified,Actinomycetota, Bacteroidota,Bifidobacterium leopoldii, Bifidobacterium piotii, Bifidobacterium sp003585735, Bifidobacterium swidsinskii, Bifidobacterium unknown, Bifidobacterium vaginale, Bifidobacterium vaginale_A, Bifidobacterium vaginale_C, Bifidobacterium vaginale_D, Bifidobacterium vaginale_F, Bifidobacterium vaginale_H, Prevotella timonensis_A
v0004	Unclassified,Bacillota_A, Bacillota_C,Amygdalobacter indicium, Dialister micraerophilus, Dialister sp001553355, KA00274_sp902373515, Megasphaera hutchinsoni
v0005	Myoviridae,Pseudomonadota,Klebsiella michiganensis, Klebsiella pneumoniae
v0006	Siphoviridae,Pseudomonadota,Proteus mirabilis
v0007	Siphoviridae,Bacillota,Lactobacillus iners, Lactobacillus jensenii, Lactobacillus mulieris
v0008	Siphoviridae,Bacillota,Lactobacillus delbrueckii
v0009	Siphoviridae,Bacillota,Lactobacillus crispatus
v000a	Siphoviridae,Bacillota,Lactobacillus delbrueckii
v000b	Rountreeviridae,Bacillota,Lactobacillus crispatus
v000c	Siphoviridae,Bacillota,Lactobacillus gasseri, Lactobacillus johnsonii, Lactobacillus paragasseri
v000d	Siphoviridae,Bacillota,Lactobacillus gasseri, Lactobacillus paragasseri
v000e	Siphoviridae,Bacillota,Lactobacillus crispatus, Lactobacillus iners, Lactobacillus jensenii
v000f	Siphoviridae,Bacillota,Lactobacillus crispatus, Lactobacillus jensenii, Lactobacillus mulieris
v0010	Siphoviridae,Bacillota,Lactobacillus crispatus
v0011	Myoviridae,Bacillota_A, Fusobacteriota,Parvimonas sp001552895, Sneathia sanguinegens, Sneathia unknown, Sneathia vaginalis
v0012	Siphoviridae,Bacillota,Lactobacillus gasseri, Lactobacillus johnsonii, Lactobacillus paragasseri
v0013	Myoviridae,Bacillota,Lactobacillus gasseri, Lactobacillus paragasseri
v0014	Siphoviridae,Bacillota,Lactobacillus jensenii, Lactobacillus mulieris
v0015	Siphoviridae,Actinomycetota,Bifidobacterium scardovii
v0016	Siphoviridae,Actinomycetota,Bifidobacterium scardovii
v0017	Podoviridae,-,-
v0018	Myoviridae,-,-
v0019	Siphoviridae,-,-
v001a	Unclassified,-,-
v001b	Unclassified,-,-
v001c	Siphoviridae,-,-
v001d	Unclassified,-,-
v001e	Unclassified,Bacillota,Atopobacter unknown
v001f	Unclassified,Bacillota_A,Mageeibacillus indolicus
v0020	Unclassified,-,-
v0021	Siphoviridae,-,-
v0022	Siphoviridae,-,-
v0023	Siphoviridae,Bacillota,Lactobacillus crispatus
v0024	Rountreeviridae,Bacillota,Lactobacillus crispatus
v0025	Rountreeviridae,Bacillota,Lactobacillus crispatus, Lactobacillus jensenii
v0026	Unclassified,Bacteroidota,Odoribacter splanchnicus, Phocaeicola plebeius_A
v0027	Unclassified,-,-
v0028	Unclassified,Bacteroidota,Phocaeicola plebeius_A
v0029	Unclassified,-,-
v002a	Unclassified,Bacteroidota,Phocaeicola vulgatus
v002b	Siphoviridae,Bacillota_A,Peptoniphilus_A vaginalis
v002c	Rountreeviridae,Bacillota,Lactobacillus crispatus, Lactobacillus mulieris
v002d	Siphoviridae,Actinomycetota,Arcanobacterium_A sp000758825
v002e	Myoviridae,Bacillota_A, Fusobacteriota,Parvimonas sp001552895, Sneathia sanguinegens, Sneathia unknown, Sneathia vaginalis
v002f	Siphoviridae,Actinomycetota, Bacillota, Bacillota_A, Bacillota_C,Aerococcus christensenii, Dialister micraerophilus, Lactobacillus iners, Mobiluncus curtisii, UBA629_sp005465875
v0030	Unclassified,Actinomycetota,Bifidobacterium leopoldii, Bifidobacterium piotii, Bifidobacterium swidsinskii, Bifidobacterium unknown, Bifidobacterium vaginale, Bifidobacterium vaginale_A, Bifidobacterium vaginale_C, Bifidobacterium vaginale_F, Bifidobacterium vaginale_H
