ID	Taxonomy
MET1042:k141_6928_length_60233_cov_1421.1251	NA,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium,virulent
MET0313:k119_45076_length_43283_cov_51.0000	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces,temperate
MET0313:k119_14329_length_41191_cov_70.9540	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,NA,virulent
MET0313:k119_21969_length_18242_cov_180.4816	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces,virulent
T2108174101:k141_1233862_length_143594_cov_52.6218	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Herelleviridae,d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus,virulent
T2108174101:k141_500647_length_61490_cov_59.5120	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella,temperate
T2108174101:k141_1468021_length_47846_cov_312.9921	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus,temperate
T2108174101:k141_1199508_length_42735_cov_80.5989	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium,temperate
T2108174101:k141_179801_length_42395_cov_141.6733	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus,temperate
T2109198999:k141_34907_length_240047_cov_2478.2152	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,NA,virulent
T2107172023:k141_106970_length_76330_cov_134.0000	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus,temperate
T2107172023:k141_104234_length_29750_cov_321.0000	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium,virulent
T2107172023:k141_333197_length_28732_cov_103.0000	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium,temperate
T2107172005:k141_316799_length_24940_cov_114.9586	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Bosea,virulent
T2108174002:k141_1247182_length_44001_cov_50.0011	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,NA,virulent
T2108174002:k141_1380760_length_25808_cov_29.1971	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,NA,virulent
T2108174002:k141_1792592_length_7249_cov_105.0936	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter,temperate
MET0214:k119_13117_length_40221_cov_125.8753	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus,temperate
MET0214:k119_10576_length_32280_cov_254.8420	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium,temperate
MET0214:k119_19096_length_22922_cov_156.6588	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus,temperate
MET0241:k119_69892_length_43866_cov_351.7031	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,NA,virulent
MET0241:k119_37274_length_40728_cov_166.9587	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,temperate
MET0241:k119_22482_length_33259_cov_153.5078	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces,temperate
MET0241:k119_23849_length_30553_cov_141.4996	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,temperate
MET0241:k119_27688_length_9138_cov_464.9688	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,temperate
T2108174110:k141_765120_length_57033_cov_66.9984	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,NA,virulent
T2108174110:k141_434609_length_32828_cov_172.9578	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium,virulent
T2108174110:k141_604322_length_32762_cov_134.0000	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,NA,virulent
T2108174110:k141_414190_length_26801_cov_246.8934	NA,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus,temperate
T2108174110:k141_1071246_length_26147_cov_60.8662	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter,virulent
T2108174110:k141_165443_length_25130_cov_216.1770	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus,temperate
SRR1950779:k119_10436_length_32298_cov_40.0000	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,NA,virulent
1111525849758776:k141_184556_length_49226_cov_148.5050	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,NA,virulent
T2108174011:k141_844709_length_19025_cov_45.8523	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Bacillota;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Murdochiella,temperate
MET0142:k119_9017_length_38222_cov_403.1433	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus,temperate
MET0223:k119_168785_length_47056_cov_160.6171	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium,temperate
MET0223:k119_19967_length_12122_cov_139.9357	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,temperate
MET0797:k119_9788_length_359689_cov_293.3018	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,NA,virulent
T2107171976:k141_59115_length_41024_cov_20202.8793	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,NA,temperate
T2107171976:k141_743698_length_39329_cov_123.4115	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella_A,temperate
T2109199055:k141_2999_length_36528_cov_1819.8631	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus,temperate
T2109199055:k141_13493_length_31779_cov_67.8623	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus,temperate
T2108173973:k141_793347_length_75408_cov_1205.0000	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Schitoviridae,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Erwinia,virulent
T2108173973:k141_272661_length_52080_cov_78.9910	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium,virulent
T2108173973:k141_1014268_length_46657_cov_106.5312	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium,temperate
T2108173973:k141_809647_length_41735_cov_125.7181	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus,temperate
T2108173973:k141_1376139_length_29646_cov_723.0000	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium,virulent
T2108173973:k141_183791_length_13088_cov_144.0651	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus,temperate
T2108173973:k141_637608_length_7855_cov_227.4398	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,NA,virulent
T2108173892:k141_28024_length_139398_cov_2982.6661	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,NA,temperate
T2108173892:k141_232434_length_134732_cov_141.9223	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,NA,virulent
T2108173892:k141_187983_length_59995_cov_324.6463	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,NA,virulent
T2108173892:k141_248044_length_50185_cov_572.0008	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,NA,virulent
T2108173892:k141_53240_length_38672_cov_136.0000	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,NA,temperate
T2108173892:k141_66601_length_38173_cov_275.7718	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,NA,temperate
T2108173892:k141_245138_length_33429_cov_150.9491	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,NA,virulent
T2108173892:k141_146566_length_6752_cov_260.5079	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae,NA,virulent
T2108173892:k141_300468_length_4599_cov_107.0240	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae,NA,virulent
T2108173892:k141_91966_length_4493_cov_260.1579	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae,NA,virulent
T2109198902:k141_38450_length_8451_cov_384.0000	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus,virulent
T2107171994:k141_123724_length_8610_cov_239.0000	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,NA,virulent
1111525849772152:k141_144849_length_29482_cov_276.4631	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium,virulent
T2108173874:k141_144196_length_374633_cov_610.0000	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,NA,virulent
T2108173874:k141_1437950_length_23066_cov_121.0119	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,temperate
T2108173874:k141_173172_length_15928_cov_82.8565	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium,virulent
T2109199037:k141_21067_length_31746_cov_461.7943	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus,temperate
T2109199037:k141_41119_length_14625_cov_507.4841	Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Kalamavirales;Tectiviridae,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A,temperate
T2108173919:k141_700296_length_25309_cov_131.6035	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus,virulent
R_T2109198998:k119_7418_length_37767_cov_27.9699	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter,virulent
R_T2109198998:k119_6637_length_25079_cov_29.3767	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter,temperate
R_T2109198998:k119_2522_length_23317_cov_29.9737	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter,temperate
R_T2109198998:k119_1463_length_22974_cov_23.9743	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B,temperate
T2108173991:k141_449362_length_25772_cov_94.9229	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A,temperate
T2109199064:k141_48255_length_32139_cov_360.7071	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus,temperate
T2109199064:k141_35504_length_24635_cov_42.9120	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus,temperate
T2109199064:k141_77300_length_14753_cov_410.7842	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus,virulent
T2109199064:k141_12141_length_7972_cov_239.4595	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus,temperate
T2108173946:k141_1328968_length_44776_cov_50.0000	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,NA,temperate
T2108173946:k141_637697_length_41767_cov_79.0326	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;,NA,virulent
